analysis_date,product_id,product_name,category,brand,current_stock,avg_daily_demand,sku_volatility_7d,lead_time_days,safety_stock,reorder_point,stockout_risk_status
2024-11-04,107548,Cola,Cold Drinks & Juices,"Bhandari, Bhasin and Palan",203,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,112390,Toothpaste,Personal Care,"Kibe, Contractor and Randhawa",209,0.29,0.76,2,1.77,2.35,Healthy
2024-11-04,11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,184,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,114414,Vitamins,Pharmacy,Kara-Golla,325,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,118820,Iced Tea,Cold Drinks & Juices,"Warrior, Ravel and Amble",220,0.14,0.38,2,0.89,1.17,Healthy
2024-11-04,120385,Pet Treats,Pet Care,Dubey-Sarin,447,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,120532,Wheat Flour,Grocery & Staples,Nazareth Ltd,537,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,123983,Cough Syrup,Pharmacy,Kurian-Chhabra,431,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,124290,Lotion,Personal Care,Sachdev Group,170,0.29,0.76,2,1.77,2.35,Healthy
2024-11-04,131136,Salt,Grocery & Staples,Deshpande-Rama,447,0.14,0.38,2,0.89,1.17,Healthy
2024-11-04,131748,Dog Food,Pet Care,"Shroff, Wason and Dugar",390,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",173,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,133542,Detergent,Household Care,Edwin-Lall,31,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,136533,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",263,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,137909,Cough Syrup,Pharmacy,Dalal PLC,387,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,140154,Shampoo,Personal Care,Malhotra LLC,239,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,140489,Soap,Personal Care,"Biswas, Kapoor and Patel",262,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",250,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,144124,Detergent,Household Care,Lalla-Srinivasan,210,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,146840,Bread,Dairy & Breakfast,"Bains, Deol and Vaidya",201,0.29,0.76,2,1.77,2.35,Healthy
2024-11-04,153019,Onions,Fruits & Vegetables,Aurora LLC,216,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,15314,Cheese,Dairy & Breakfast,Banik-Ratta,204,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,154179,Pain Reliever,Pharmacy,"Barad, Devi and Andra",292,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,171602,Cola,Cold Drinks & Juices,Pal-Sehgal,197,0.57,0.98,2,2.29,3.43,Healthy
2024-11-04,18035,Dish Soap,Household Care,Ramesh Inc,197,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,183929,Bread,Dairy & Breakfast,"Nagi, Sampath and Khurana",214,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,186168,Dog Food,Pet Care,"Parekh, Lad and Kadakia",319,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,187399,Frozen Pizza,Instant & Frozen Food,Chauhan Inc,229,0.29,0.76,2,1.77,2.35,Healthy
2024-11-04,194682,Iced Tea,Cold Drinks & Juices,Sastry-Issac,162,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,196719,Bananas,Fruits & Vegetables,Yogi Group,209,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,217710,Eggs,Dairy & Breakfast,Rout-Sarna,187,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,219598,Shampoo,Personal Care,Arora-Magar,188,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,181,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,228286,Cola,Cold Drinks & Juices,Bhattacharyya PLC,220,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,237083,Cough Syrup,Pharmacy,Hayer-Banerjee,386,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,240179,Cough Syrup,Pharmacy,Ram-Suri,469,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,243235,Cat Food,Pet Care,Batta Inc,432,0.43,1.13,2,2.64,3.5,Healthy
2024-11-04,256051,Lotion,Personal Care,"Mannan, Naidu and Sama",149,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,256783,Pet Treats,Pet Care,"Basu, Thakur and Rege",373,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,257719,Eggs,Dairy & Breakfast,Chaudhuri PLC,228,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,26060,Vitamins,Pharmacy,Shah and Sons,431,0.86,1.57,2,3.66,5.38,Healthy
2024-11-04,264803,Vitamins,Pharmacy,Gole-Doshi,408,0.29,0.76,2,1.77,2.35,Healthy
2024-11-04,272170,Ice Cream,Instant & Frozen Food,Purohit Group,277,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,274207,Cough Syrup,Pharmacy,"Savant, Batta and Mander",514,0.0,0.0,2,0.0,0.0,Healthy
2024-11-04,284460,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",204,0.14,0.38,2,0.89,1.17,Healthy
2024-11-04,287070,Wheat Flour,Grocery & Staples,"Gala, Magar and Rajagopal",557,0.29,0.49,2,1.14,1.72,Healthy
